Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1985","1985","1000 $","6313","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1986","1986","1000 $","8495","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1987","1987","1000 $","9045","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1988","1988","1000 $","9626","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1989","1989","1000 $","9705","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1990","1990","1000 $","11319","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1991","1991","1000 $","10454","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1992","1992","1000 $","10063","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1993","1993","1000 $","8058","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1994","1994","1000 $","8440","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1995","1995","1000 $","9438","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1996","1996","1000 $","10565","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1997","1997","1000 $","7501","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1998","1998","1000 $","5316","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","1999","1999","1000 $","7962","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","2000","2000","1000 $","6157","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","2001","2001","1000 $","5407","E","Estimated value"
"TI","Trade Indices","372","Ireland","94","Export Value Base Quantity","0115","Barley","2002","2002","1000 $","5847","E","Estimated value"
