Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2019","2019","7021","Annual value","","92.89","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2020","2020","7021","Annual value","","98.86","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2021","2021","7021","Annual value","","104.84","I","Imputed value"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1991","1991","7021","Annual value","LCU","27653","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1992","1992","7021","Annual value","LCU","26755","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1993","1993","7021","Annual value","LCU","26772","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1994","1994","7021","Annual value","LCU","26838","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1995","1995","7021","Annual value","LCU","28252","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1996","1996","7021","Annual value","LCU","25806","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1997","1997","7021","Annual value","LCU","25241","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1998","1998","7021","Annual value","LCU","23494","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","1999","1999","7021","Annual value","LCU","22562","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2000","2000","7021","Annual value","LCU","21614","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2001","2001","7021","Annual value","LCU","24475","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2002","2002","7021","Annual value","LCU","134","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2003","2003","7021","Annual value","LCU","138","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2004","2004","7021","Annual value","LCU","142","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2005","2005","7021","Annual value","LCU","140","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2006","2006","7021","Annual value","LCU","139.3","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2007","2007","7021","Annual value","LCU","210.3","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2008","2008","7021","Annual value","LCU","218.9","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2009","2009","7021","Annual value","LCU","160.3","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7021","Annual value","LCU","174.5","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7001","January","LCU","148","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7002","February","LCU","141","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7003","March","LCU","136","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7004","April","LCU","140","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7005","May","LCU","140","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7006","June","LCU","149","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7007","July","LCU","157","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7008","August","LCU","184","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7009","September","LCU","190","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7010","October","LCU","199","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7011","November","LCU","199","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2010","2010","7012","December","LCU","210","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7021","Annual value","LCU","230.1","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7001","January","LCU","238","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7002","February","LCU","246","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7003","March","LCU","234","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7004","April","LCU","235","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7005","May","LCU","233","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7006","June","LCU","271","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7007","July","LCU","237","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7008","August","LCU","224","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7009","September","LCU","222","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7010","October","LCU","219","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7011","November","LCU","217","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2011","2011","7012","December","LCU","210","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7021","Annual value","LCU","247.9","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7001","January","LCU","220","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7002","February","LCU","226","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7003","March","LCU","228","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7004","April","LCU","234","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7005","May","LCU","221","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7006","June","LCU","240","A","Official figure"
"PP","Producer Prices","724","Spain","5530","Producer Price (LCU/tonne)","0111","Wheat","2012","2012","7007","July","LCU","244","A","Official figure"
