Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","87.31644","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","87.81536","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","87.92305","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","88.0824","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","88.31097","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","88.5934","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","89.39671","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","91.13303","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","91.94952","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","92.73636","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","93.22208","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","93.08911","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","93.33418","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","93.63309","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","93.8166","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","94.42542","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","94.51882","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","94.65289","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","94.88257","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","94.77048","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","94.80235","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","94.9529","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","94.96278","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","94.52651","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","93.89024","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","93.58583","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","93.08472","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","92.70449","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","92.50778","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","92.65943","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","92.61548","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","92.47482","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","92.51218","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","92.6957","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","92.64515","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","91.93085","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","91.95172","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","91.84293","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","91.81876","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","92.01327","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","92.19459","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","92.5946","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","92.6891","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","92.82207","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","93.01549","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","93.35506","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","93.47264","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","93.3089","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","93.6199","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","93.88474","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","94.13419","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","94.20673","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","94.38255","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","94.58805","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","94.79245","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","94.86059","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","95.03971","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","95.34192","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","95.58258","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","95.69138","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","95.78699","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","96.02106","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","95.85182","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","96.23754","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","96.08589","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","96.49469","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","96.96833","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","97.26724","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","97.74967","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","98.22881","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","98.60464","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","98.34749","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","98.2321","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","98.52661","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.12992","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.75082","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.3058","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","100.7563","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","99.41015","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","98.81563","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","98.9497","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","99.40356","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.77499","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.41564","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","98.75519","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","98.65409","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.32331","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.28265","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.30463","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","98.54969","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","98.64749","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","99.17498","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","99.12553","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","99.07388","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","99.34202","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.60796","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.12663","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.0519","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","99.564","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","100.0695","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","99.67279","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","100.3794","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","100.4508","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","101.0289","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","100.8377","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","100.8684","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.4234","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","100.8706","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","100.8278","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","100.9981","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","101.2871","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","101.552","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","102.1992","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.1575","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","101.2509","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","101.3432","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.219","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.6783","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","102.4135","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","102.5707","X","Figure from international organizations","base year is 2015"
