"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01212","Pigs","Base 2015=100","110.3527752"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01213","Sheep","Base 2015=100","99.64705032"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01214","Poultry","Base 2015=100","99.21001314"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0122","Animal products","Base 2015=100","120.3184131"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01221","Milk","Base 2015=100","121.3156993"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","01222","Eggs","Base 2015=100","97.52475178"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","012231","Wool","Base 2015=100","44.83365697"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02","Agricultural input price index","Base 2015=100","98.21946741"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","021","Seeds","Base 2015=100","98.53689892"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","022","Energy","Base 2015=100","97.81166814"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0221","Electricity","Base 2015=100","95.5349111"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0222","Motor fuel","Base 2015=100","98.25509945"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0223","Lubricants","Base 2015=100","103.8001988"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","023","Fertilisers","Base 2015=100","81.47210182"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0231","Straight fertilisers","Base 2015=100","77.93178026"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0232","Compound fertilisers","Base 2015=100","82.20957798"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02321","PK fertilisers","Base 2015=100","87.72641037"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","02322","NPK fertilisers","Base 2015=100","82.0720043"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0233","Other fertilisers","Base 2015=100","102.6190476"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","024","Plant protection products","Base 2015=100","103.093159"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","025","Veterinary expenses","Base 2015=100","102.1153203"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","026","Feeding stuffs","Base 2015=100","100.558093"
"AHA04","Agricultural Input and Output Price Indices","2017","2017","0261","Straight feeding stuffs","Base 2015=100","100.5125526"
